"Region, subregion, country or area *",Country code,Type,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United Kingdom,826,Country/Area,50616.02,50601.93,50651.27,50750.98,50890.91,51063.91,51265.89,51495.70,51754.67,52045.66,52370.60,52727.76,53109.40,53500.72,53882.75,54240.86,54568.87,54866.53,55132.60,55367.95,55573.46,55748.53,55892.41,56006.29,56092.06,56152.33,56188.35,56203.60,56205.91,56205.09,56209.16,56220.74,56241.41,56276.79,56332.90,56413.56,56522.51,56658.26,56812.75,56974.29,57134.38,57290.79,57446.04,57602.28,57763.38,57932.45,58113.55,58307.32,58509.97,58715.86,58923.31,59124.28,59326.29,59561.43,59872.76,60287.95,60821.35,61455.15,62145.10,62828.62,63459.80,64021.92,64525.30,64984.02,65423.05,65860.15,66297.94,66727.46,67141.68,67530.16,67886.00
France,250,Country/Area,41833.87,42031.20,42315.60,42654.66,43024.82,43411.38,43809.00,44221.22,44659.05,45138.43,45673.15,46266.97,46907.04,47560.83,48184.41,48746.65,49232.54,49651.08,50024.59,50387.44,50763.92,51162.57,51573.27,51979.53,52356.79,52688.58,52969.31,53208.55,53423.11,53637.07,53868.01,54121.01,54391.47,54675.37,54965.17,55254.84,55545.27,55837.62,56126.34,56404.30,56666.86,56913.58,57147.21,57370.38,57587.12,57801.89,58012.06,58220.66,58444.25,58704.38,59015.09,59384.13,59803.43,60251.59,60697.98,61120.13,61508.92,61869.23,62209.21,62542.88,62879.54,63222.23,63564.22,63893.52,64193.55,64453.19,64667.59,64842.51,64990.51,65129.73,65273.51
Italy,380,Country/Area,46598.60,47009.98,47390.57,47737.39,48051.04,48335.58,48598.90,48852.44,49110.37,49388.39,49699.95,50052.17,50442.35,50856.41,51273.23,51677.25,52062.75,52433.48,52794.53,53154.58,53518.97,53888.88,54258.74,54619.24,54957.80,55265.28,55537.95,55777.88,55988.98,56177.84,56349.35,56505.48,56644.86,56765.25,56863.13,56936.78,56983.93,57007.74,57018.19,57028.71,57048.24,57088.13,57145.31,57197.61,57213.54,57174.41,57065.23,56903.63,56742.76,56655.63,56692.18,56875.15,57182.52,57564.59,57948.42,58281.21,58542.62,58747.86,58922.12,59105.62,59325.23,59589.07,59879.47,60166.83,60409.62,60578.49,60663.07,60673.69,60627.29,60550.09,60461.83
United Republic of Tanzania,834,Country/Area,7649.77,7844.89,8050.98,8267.42,8493.75,8729.67,8974.99,9229.73,9493.99,9768.04,10052.15,10346.70,10651.95,10968.20,11295.68,11634.84,11985.44,12348.19,12725.52,13120.59,13535.49,13971.70,14428.34,14902.27,15388.93,15885.23,16390.16,16905.22,17432.76,17976.22,18538.26,19120.68,19723.32,20344.55,20981.78,21633.80,22296.28,22971.21,23670.81,24411.74,25203.85,26056.61,26961.20,27887.20,28792.65,29649.13,30444.52,31192.85,31924.20,32682.24,33499.18,34385.85,35334.79,36337.78,37379.77,38450.32,39548.67,40681.42,41853.94,43073.83,44346.53,45673.52,47053.03,48483.13,49960.56,51482.64,53049.23,54660.35,56313.44,58005.46,59734.21
South Africa,710,Country/Area,13628.43,13921.93,14226.26,14541.56,14868.16,15206.50,15557.20,15921.02,16298.80,16691.45,17099.84,17524.53,17965.73,18423.16,18896.30,19384.84,19888.26,20406.86,20942.15,21496.08,22069.78,22665.27,23281.52,23913.09,24552.54,25195.18,25836.89,26480.92,27138.97,27827.33,28556.77,29333.10,30150.45,30993.76,31841.59,32678.88,33495.96,34297.73,35100.91,35930.06,36800.51,37718.95,38672.61,39633.75,40564.06,41435.76,42241.01,42987.46,43682.26,44338.55,44967.71,45571.27,46150.91,46719.20,47291.61,47880.60,48489.46,49119.77,49779.47,50477.01,51216.97,52003.76,52832.66,53687.13,54544.18,55386.37,56207.65,57009.75,57792.52,58558.27,59308.69
Myanmar,104,Country/Area,17779.64,18103.97,18440.68,18792.74,19162.19,19550.07,19956.40,20380.22,20819.75,21272.68,21736.95,22211.63,22697.66,23198.24,23717.79,24259.36,24823.94,25410.05,26015.24,26635.85,27269.06,27913.75,28570.09,29238.17,29918.47,30611.09,31314.35,32026.75,32748.78,33481.40,34224.32,34976.47,35734.27,36491.80,37241.53,37977.09,38698.48,39404.35,40085.65,40731.44,41335.19,41890.19,42401.69,42889.99,43383.42,43901.60,44452.20,45027.22,45611.22,46181.08,46719.70,47225.12,47702.16,48148.91,48564.49,48949.93,49301.05,49621.48,49929.64,50250.37,50600.83,50990.61,51413.70,51852.46,52280.82,52680.72,53045.20,53382.52,53708.32,54045.42,54409.79
Kenya,404,Country/Area,6076.76,6242.11,6415.96,6598.17,6788.71,6987.66,7195.22,7411.77,7637.73,7873.62,8120.08,8377.69,8647.00,8928.51,9222.69,9530.16,9851.45,10187.49,10539.91,10910.68,11301.39,11713.05,12146.07,12600.80,13077.34,13575.90,14096.26,14638.89,15205.38,15797.77,16417.20,17063.87,17736.33,18431.76,19146.40,19877.08,20622.56,21382.11,22153.69,22935.09,23724.57,24521.71,25326.08,26136.22,26950.51,27768.30,28589.46,29415.66,30250.49,31098.76,31964.56,32848.57,33751.75,34678.78,35635.27,36624.90,37649.04,38705.93,39791.98,40901.80,42030.68,43178.27,44343.47,45519.99,46700.06,47878.34,49051.53,50221.15,51392.57,52573.97,53771.30
Republic of Korea,410,Country/Area,19211.39,19452.64,19817.78,20293.20,20864.10,21514.56,22227.34,22984.01,23765.50,24552.85,25329.52,26084.03,26812.08,27517.54,28209.74,28895.56,29572.55,30236.69,30891.97,31543.83,32195.68,32850.73,33506.52,34154.09,34780.89,35378.66,35942.03,36475.43,36992.19,37511.30,38045.61,38602.29,39175.22,39747.79,40296.23,40804.41,41265.12,41686.57,42086.67,42491.20,42918.42,43373.15,43848.22,44335.04,44820.07,45292.52,45751.02,46196.06,46620.70,47016.95,47379.24,47706.23,47999.55,48260.90,48493.43,48701.07,48880.45,49034.81,49182.46,49347.45,49545.64,49786.15,50060.64,50345.72,50607.90,50823.09,50983.45,51096.41,51171.70,51225.32,51269.18
Colombia,170,Country/Area,11981.58,12295.97,12633.90,12993.85,13374.54,13775.00,14194.56,14632.79,15089.52,15564.62,16057.71,16567.82,17092.92,17629.98,18175.19,18725.24,19279.73,19837.51,20393.70,20942.45,21480.06,22003.98,22516.43,23024.51,23538.39,24065.50,24608.10,25164.54,25733.67,26313.00,26900.51,27496.61,28101.82,28714.18,29331.23,29951.19,30572.48,31195.42,31822.53,32457.50,33102.57,33758.33,34422.57,35091.27,35758.98,36421.44,37076.39,37723.80,38364.31,38999.47,39629.97,40255.96,40875.36,41483.87,42075.95,42647.73,43200.90,43737.51,44254.97,44750.05,45222.70,45662.75,46075.72,46495.49,46967.71,47520.67,48175.05,48909.84,49661.06,50339.44,50882.88
Spain,724,Country/Area,28069.73,28219.62,28399.03,28600.36,28818.01,29048.39,29290.08,29543.63,29811.31,30096.58,30402.41,30729.65,31075.48,31432.77,31791.94,32146.26,32491.64,32830.18,33168.78,33517.68,33883.75,34267.46,34664.23,35069.43,35476.44,35879.21,36276.75,36666.77,37040.40,37386.81,37698.20,37971.97,38209.69,38413.30,38586.70,38733.87,38855.63,38954.49,39038.69,39118.56,39202.52,39299.08,39410.85,39533.73,39660.08,39787.41,39908.96,40035.29,40201.56,40454.47,40824.75,41319.43,41919.59,42596.46,43308.35,44019.12,44728.56,45429.07,46068.81,46583.57,46931.01,47084.24,47063.06,46930.55,46777.93,46671.92,46634.13,46647.43,46692.86,46736.78,46754.78
