"Region, subregion, country or area *",Country code,Type,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Syrian Arab Republic,760,Country/Area,3413.33,3498.53,3591.00,3690.73,3797.64,3911.50,4032.07,4158.98,4291.81,4430.10,4573.51,4721.89,4875.43,5034.64,5200.34,5373.14,5553.25,5740.70,5935.85,6139.05,6350.54,6570.86,6800.15,7037.86,7283.18,7535.72,7794.66,8060.65,8336.42,8625.69,8930.78,9252.85,9590.23,9938.85,10293.05,10648.63,11004.27,11360.85,11719.06,12080.44,12446.17,12815.40,13187.67,13565.07,13950.49,14345.49,14754.15,15175.31,15599.59,16013.99,16410.85,16766.56,17084.63,17415.21,17827.83,18361.18,19059.26,19878.26,20664.04,21205.87,21362.54,21081.81,20438.86,19578.47,18710.71,17997.41,17465.57,17095.67,16945.06,17070.13,17500.66
Netherlands,528,Country/Area,10042.05,10167.54,10297.99,10432.30,10569.69,10709.62,10851.93,10996.63,11144.07,11294.68,11448.82,11606.40,11766.73,11928.36,12089.39,12248.33,12404.19,12556.84,12706.79,12855.01,13001.94,13147.94,13291.88,13431.19,13562.43,13683.29,13793.11,13892.92,13984.05,14068.60,14148.41,14223.76,14295.21,14365.39,14437.51,14513.95,14595.75,14682.66,14774.03,14868.66,14965.44,15064.52,15165.86,15268.01,15369.12,15467.85,15563.25,15655.48,15745.65,15835.53,15926.19,16018.11,16110.36,16200.95,16287.18,16367.15,16440.09,16506.65,16568.11,16626.38,16682.93,16738.19,16791.85,16843.51,16892.52,16938.49,16981.29,17021.34,17059.56,17097.12,17134.87
Senegal,686,Country/Area,2486.64,2545.34,2606.62,2670.73,2737.91,2808.24,2881.77,2958.48,3038.29,3121.09,3206.76,3295.28,3386.80,3481.65,3580.24,3682.88,3789.38,3899.65,4014.11,4133.32,4257.51,4387.53,4522.89,4660.73,4797.19,4929.85,5057.38,5181.51,5306.69,5439.07,5583.16,5740.44,5909.73,6089.57,6277.42,6471.33,6670.67,6875.75,7086.62,7303.51,7526.31,7755.50,7990.09,8226.75,8461.07,8690.16,8912.87,9130.88,9347.78,9568.72,9797.73,10036.10,10283.69,10541.47,10810.09,11090.12,11382.27,11687.08,12004.70,12335.09,12678.14,13033.81,13401.99,13782.43,14174.74,14578.45,14993.51,15419.35,15854.32,16296.36,16743.93
Cambodia,116,Country/Area,4432.72,4537.66,4656.43,4783.20,4913.75,5045.28,5176.64,5308.13,5441.32,5578.70,5722.37,5872.97,6028.43,6183.59,6331.44,6467.19,6585.03,6685.96,6779.78,6880.62,6996.58,7139.64,7302.11,7449.23,7533.33,7524.46,7404.69,7196.04,6957.27,6770.39,6693.76,6749.85,6919.80,7170.00,7447.84,7714.89,7960.95,8198.08,8435.91,8691.33,8975.60,9289.30,9623.90,9970.73,10317.90,10656.15,10982.92,11298.59,11600.51,11886.46,12155.24,12405.41,12637.72,12856.17,13066.48,13273.36,13477.71,13679.95,13883.84,14093.61,14312.21,14541.42,14780.45,15026.33,15274.51,15521.44,15766.29,16009.41,16249.80,16486.54,16718.97
Chad,148,Country/Area,2502.32,2543.88,2588.87,2636.25,2685.19,2735.21,2786.05,2837.77,2890.64,2945.10,3001.60,3060.37,3121.23,3183.58,3246.53,3309.58,3372.18,3434.82,3499.37,3568.40,3643.61,3726.19,3815.25,3907.89,3999.92,4088.57,4173.13,4255.24,4337.29,4422.74,4514.43,4612.86,4718.16,4832.32,4957.56,5095.40,5247.28,5412.84,5589.62,5773.93,5963.25,6157.09,6356.74,6563.93,6781.06,7010.16,7250.97,7503.49,7770.05,8053.53,8355.65,8678.05,9019.23,9373.91,9734.76,10096.63,10457.12,10818.03,11183.59,11560.14,11952.13,12360.99,12784.75,13220.43,13663.56,14110.97,14561.66,15016.76,15477.73,15946.88,16425.86
Somalia,706,Country/Area,2264.08,2307.68,2351.94,2397.19,2443.65,2491.54,2541.02,2592.15,2645.03,2699.62,2755.97,2814.13,2874.22,2936.48,3001.16,3068.47,3143.65,3227.84,3312.74,3386.74,3444.57,3472.36,3479.79,3512.63,3632.99,3880.29,4278.97,4802.13,5375.02,5892.76,6281.14,6511.12,6608.04,6618.59,6614.71,6648.63,6736.75,6862.27,7005.23,7133.26,7225.09,7274.03,7295.38,7315.86,7372.59,7491.65,7682.68,7936.12,8235.06,8553.60,8872.25,9186.72,9501.34,9815.41,10130.25,10446.86,10763.90,11080.12,11397.19,11717.69,12043.89,12376.31,12715.49,13063.71,13423.57,13797.20,14185.64,14589.17,15008.23,15442.91,15893.22
Zimbabwe,716,Country/Area,2746.85,2832.25,2922.04,3015.66,3112.78,3213.29,3317.28,3425.07,3537.17,3654.17,3776.68,3905.04,4039.21,4178.73,4322.85,4471.18,4623.34,4779.83,4941.90,5111.33,5289.31,5476.98,5673.91,5877.73,6085.08,6293.88,6502.57,6712.83,6929.66,7160.02,7408.63,7675.58,7958.24,8254.75,8562.26,8877.49,9200.15,9527.20,9849.13,10153.85,10432.41,10681.01,10900.51,11092.78,11261.75,11410.72,11541.22,11653.25,11747.08,11822.72,11881.48,11923.91,11954.29,11982.22,12019.91,12076.70,12155.50,12255.92,12379.55,12526.96,12697.73,12894.32,13115.15,13350.38,13586.71,13814.64,14030.34,14236.60,14438.81,14645.47,14862.93
Guinea,324,Country/Area,3012.94,3054.00,3095.61,3138.45,3183.01,3229.64,3278.50,3329.56,3382.71,3437.67,3494.16,3552.07,3611.43,3672.56,3735.91,3801.71,3870.20,3941.05,4013.05,4084.60,4154.61,4223.06,4290.54,4357.36,4424.03,4491.25,4559.24,4628.88,4702.37,4782.49,4871.45,4969.60,5077.07,5195.44,5326.37,5470.72,5629.42,5801.32,5982.48,6167.48,6352.28,6534.94,6716.03,6897.17,7081.12,7269.63,7463.78,7662.07,7860.77,8054.75,8240.74,8417.08,8586.08,8753.10,8925.73,9109.59,9307.42,9518.16,9738.80,9964.47,10192.17,10420.46,10652.03,10892.82,11150.97,11432.10,11738.43,12067.52,12414.29,12771.25,13132.79
Rwanda,646,Country/Area,2186.18,2251.13,2314.18,2379.69,2450.36,2527.29,2609.86,2695.82,2781.61,2862.80,2935.58,2998.33,3052.94,3105.42,3164.26,3235.54,3321.67,3420.90,3529.84,3643.24,3757.35,3871.43,3987.22,4106.41,4231.58,4364.71,4506.11,4655.39,4812.87,4978.81,5153.31,5329.25,5504.85,5690.99,5902.85,6146.88,6443.75,6779.98,7088.19,7276.98,7288.88,7083.93,6702.24,6263.76,5936.25,5836.49,6013.11,6419.90,6962.80,7501.24,7933.69,8231.15,8427.06,8557.16,8680.52,8840.22,9043.34,9273.76,9524.53,9782.77,10039.34,10293.33,10549.67,10811.54,11083.63,11369.07,11668.83,11980.96,12301.97,12626.94,12952.21
Benin,204,Country/Area,2255.22,2258.48,2264.86,2274.48,2287.38,2303.59,2323.05,2345.71,2371.46,2400.13,2431.62,2465.87,2502.90,2542.86,2585.96,2632.36,2682.16,2735.31,2791.59,2850.66,2912.34,2976.58,3043.56,3113.68,3187.41,3265.17,3347.17,3433.45,3523.93,3618.52,3717.16,3820.13,3927.72,4039.94,4156.82,4278.50,4404.50,4535.26,4672.84,4820.02,4978.49,5149.50,5331.81,5521.76,5714.22,5905.55,6094.27,6281.64,6470.28,6664.10,6865.95,7076.73,7295.40,7520.56,7750.00,7982.22,8216.89,8454.79,8696.92,8944.71,9199.25,9460.83,9729.25,10004.59,10286.84,10575.96,10872.07,11175.19,11485.04,11801.15,12123.20
Burundi,108,Country/Area,2308.93,2360.44,2406.03,2449.09,2492.19,2537.15,2584.91,2635.62,2688.75,2743.20,2797.93,2852.44,2907.32,2964.42,3026.29,3094.38,3170.50,3253.22,3336.93,3413.91,3479.07,3530.00,3569.66,3605.12,3646.43,3700.88,3770.87,3854.45,3949.26,4051.24,4157.30,4266.52,4379.73,4497.54,4621.10,4750.83,4886.75,5027.14,5168.70,5307.07,5438.96,5564.92,5685.57,5798.05,5898.96,5987.04,6060.11,6122.13,6185.56,6267.13,6378.87,6525.55,6704.12,6909.16,7131.69,7364.86,7607.85,7862.23,8126.10,8397.66,8675.61,8958.41,9245.99,9540.30,9844.30,10160.03,10488.00,10827.01,11175.38,11530.58,11890.78
Tunisia,788,Country/Area,3605.31,3696.16,3772.93,3838.09,3894.12,3943.54,3988.87,4032.59,4077.21,4125.08,4178.24,4238.14,4305.48,4380.07,4461.11,4547.94,4641.00,4740.53,4845.22,4953.38,5063.81,5176.29,5291.34,5409.34,5530.98,5656.91,5786.48,5919.96,6060.16,6210.76,6374.04,6551.23,6740.52,6937.33,7135.27,7329.59,7517.85,7700.73,7880.33,8060.21,8242.51,8427.85,8613.86,8795.93,8967.92,9125.40,9267.34,9395.12,9509.86,9613.59,9708.35,9793.92,9871.26,9945.28,10022.28,10106.78,10201.21,10304.73,10414.43,10525.69,10635.25,10741.87,10846.99,10952.95,11063.20,11179.95,11303.94,11433.44,11565.20,11694.72,11818.62
Bolivia (Plurinational State of),68,Country/Area,3081.84,3124.34,3170.68,3220.68,3274.21,3331.04,3390.97,3453.78,3519.19,3587.00,3656.96,3728.95,3803.00,3879.19,3957.76,4038.87,4122.52,4208.68,4297.52,4389.25,4484.00,4581.75,4682.39,4785.92,4892.29,5001.41,5113.46,5228.25,5344.95,5462.41,5579.93,5697.10,5814.34,5932.81,6054.13,6179.46,6309.13,6442.82,6580.32,6721.12,6864.84,7011.46,7160.92,7312.86,7466.79,7622.33,7779.27,7937.45,8096.76,8257.07,8418.27,8580.24,8742.82,8905.82,9069.04,9232.30,9395.45,9558.44,9721.46,9884.79,10048.60,10212.95,10377.68,10542.38,10706.52,10869.73,11031.82,11192.85,11353.14,11513.10,11673.03
Belgium,56,Country/Area,8637.52,8680.18,8727.99,8779.27,8832.70,8887.28,8942.41,8997.85,9053.64,9110.07,9167.36,9225.41,9283.55,9340.42,9394.30,9443.95,9488.76,9529.05,9565.59,9599.65,9632.18,9663.32,9692.85,9720.75,9747.02,9771.58,9794.77,9816.69,9836.81,9854.37,9869.00,9880.59,9889.82,9897.88,9906.37,9916.58,9928.54,9942.28,9959.01,9980.18,10006.55,10039.45,10078.10,10118.68,10155.91,10186.30,10208.27,10223.79,10237.30,10255.16,10282.05,10319.03,10364.88,10419.03,10480.12,10546.89,10619.48,10697.58,10778.76,10859.93,10938.74,11013.86,11085.36,11154.01,11221.23,11287.93,11354.41,11419.75,11482.18,11539.33,11589.62
Haiti,332,Country/Area,3221.27,3274.41,3330.33,3388.96,3450.25,3514.07,3580.31,3648.82,3719.43,3791.93,3866.16,3941.96,4019.17,4097.76,4177.63,4258.73,4341.33,4425.32,4509.81,4593.67,4676.24,4757.18,4837.33,4918.63,5003.71,5094.57,5191.64,5294.63,5404.02,5520.19,5643.18,5773.37,5910.22,6051.62,6194.69,6337.28,6478.54,6618.74,6758.22,6897.76,7037.92,7178.61,7319.49,7460.68,7602.32,7744.51,7887.31,8030.72,8174.68,8319.07,8463.80,8608.81,8754.15,8900.11,9047.08,9195.29,9344.78,9495.34,9646.57,9798.05,9949.32,10100.32,10250.92,10400.67,10549.01,10695.54,10839.98,10982.37,11123.18,11263.08,11402.53
Cuba,192,Country/Area,5919.99,6050.14,6178.81,6303.73,6423.87,6539.46,6652.07,6764.55,6880.73,7005.03,7141.24,7291.20,7453.54,7623.30,7793.26,7958.17,8115.49,8266.37,8413.55,8561.39,8712.54,8868.09,9025.35,9178.81,9320.94,9446.44,9554.19,9646.14,9724.04,9790.85,9849.46,9898.89,9940.31,9981.30,10031.65,10097.91,10183.89,10286.65,10397.52,10503.97,10596.99,10673.53,10736.39,10789.31,10838.46,10888.25,10939.29,10989.73,11038.71,11084.67,11126.42,11164.68,11199.66,11229.19,11250.37,11261.59,11261.24,11251.12,11236.98,11226.71,11225.83,11236.67,11257.11,11282.72,11306.91,11324.78,11335.11,11339.26,11338.15,11333.48,11326.62
South Sudan,728,Country/Area,2482.31,2501.57,2525.20,2552.93,2584.51,2619.72,2658.30,2700.08,2744.85,2792.44,2842.72,2895.61,2951.04,3009.06,3069.74,3133.16,3199.35,3268.39,3340.43,3415.57,3494.01,3575.90,3661.44,3750.78,3844.09,3941.61,4041.79,4144.55,4253.09,4371.71,4502.60,4646.48,4799.44,4953.15,5096.48,5220.75,5328.17,5419.81,5485.29,5511.58,5492.62,5420.18,5305.45,5185.71,5111.37,5118.08,5221.93,5411.65,5661.93,5933.88,6199.40,6447.79,6688.23,6935.67,7213.35,7535.93,7907.41,8315.14,8736.93,9142.26,9508.37,9830.70,10113.65,10355.03,10554.88,10715.66,10832.52,10910.77,10975.92,11062.11,11193.73
Dominican Republic,214,Country/Area,2364.65,2438.64,2517.65,2601.34,2689.33,2781.34,2877.10,2976.42,3079.14,3185.11,3294.22,3406.28,3521.02,3638.11,3757.12,3877.77,3999.80,4123.10,4247.56,4373.13,4499.72,4627.20,4755.46,4884.46,5014.19,5144.63,5275.77,5407.50,5539.60,5671.80,5803.93,5935.90,6067.77,6199.66,6331.76,6464.23,6596.97,6729.93,6863.44,6997.88,7133.49,7270.41,7408.34,7546.47,7683.71,7819.24,7952.77,8084.41,8214.43,8343.29,8471.32,8598.60,8724.97,8850.32,8974.44,9097.26,9218.68,9338.86,9458.08,9576.74,9695.12,9813.22,9930.92,10048.23,10165.18,10281.68,10397.74,10513.11,10627.15,10738.96,10847.90
Czechia,203,Country/Area,8902.62,9007.00,9110.14,9205.97,9290.49,9361.78,9420.04,9467.56,9508.37,9547.67,9590.18,9638.39,9691.06,9742.46,9784.34,9811.38,9821.06,9817.11,9807.94,9805.32,9817.67,9847.22,9891.10,9946.19,10007.28,10069.96,10134.52,10200.73,10262.92,10313.96,10349.08,10365.52,10365.26,10354.10,10340.63,10331.14,10327.29,10327.47,10330.93,10335.88,10340.88,10346.46,10353.02,10358.69,10360.96,10358.19,10350.30,10338.35,10323.24,10306.40,10289.37,10271.02,10252.26,10239.13,10239.44,10258.17,10298.61,10357.54,10425.27,10488.16,10536.51,10566.51,10581.30,10586.53,10591.10,10601.39,10618.87,10641.03,10665.68,10689.21,10708.98
Greece,300,Country/Area,7668.79,7742.94,7814.17,7882.60,7948.28,8011.13,8070.96,8127.48,8180.31,8229.11,8273.63,8314.01,8350.88,8385.44,8419.30,8453.82,8489.87,8528.03,8569.14,8614.04,8663.57,8716.87,8774.51,8840.31,8919.25,9014.09,9127.06,9254.98,9388.72,9515.74,9627.00,9719.84,9796.83,9860.73,9916.48,9968.23,10015.12,10057.29,10101.35,10155.72,10225.99,10315.11,10420.23,10533.81,10644.94,10745.50,10832.14,10906.25,10970.12,11027.90,11082.10,11134.45,11182.31,11218.88,11234.99,11224.80,11185.23,11120.37,11040.31,10959.27,10887.64,10829.07,10781.12,10740.50,10701.46,10659.74,10615.18,10569.45,10522.24,10473.45,10423.06
Jordan,400,Country/Area,481.32,536.40,576.28,609.98,644.12,682.98,728.21,779.11,832.98,885.59,933.10,973.98,1010.65,1050.21,1102.40,1173.60,1267.06,1379.00,1500.17,1617.43,1721.32,1809.19,1883.92,1948.44,2007.74,2065.92,2123.18,2179.36,2237.94,2303.12,2378.00,2464.87,2563.53,2671.41,2784.46,2900.06,3015.29,3131.80,3256.55,3399.33,3565.89,3760.49,3977.67,4201.56,4410.36,4588.84,4732.85,4848.54,4943.98,5031.75,5122.50,5217.33,5317.51,5434.04,5580.24,5765.64,5991.55,6255.29,6556.47,6893.26,7261.54,7662.86,8089.96,8518.99,8918.82,9266.57,9554.29,9785.84,9965.32,10101.70,10203.14
Portugal,620,Country/Area,8416.97,8418.74,8451.55,8503.17,8563.70,8625.54,8683.42,8734.43,8777.70,8814.02,8844.64,8869.99,8888.51,8896.27,8888.23,8862.28,8814.77,8750.86,8687.87,8649.25,8651.33,8700.00,8789.11,8907.93,9039.98,9172.24,9302.30,9431.04,9552.61,9660.75,9750.97,9820.87,9870.82,9902.99,9921.24,9929.18,9926.43,9914.07,9899.20,9890.82,9895.36,9916.05,9951.31,9996.64,10045.03,10091.32,10134.02,10174.56,10214.05,10254.50,10297.12,10341.46,10385.99,10429.62,10470.93,10508.49,10542.84,10573.15,10595.31,10604.07,10596.06,10569.39,10526.31,10473.03,10418.22,10368.35,10325.54,10288.53,10256.19,10226.18,10196.71
Azerbaijan,31,Country/Area,2927.93,2987.26,3060.01,3142.81,3233.17,3329.37,3430.67,3537.02,3649.19,3768.34,3895.40,4030.33,4171.43,4315.13,4456.69,4592.60,4721.53,4843.87,4960.24,5071.93,5180.03,5284.52,5385.27,5483.09,5579.07,5674.13,5768.73,5863.14,5957.93,6053.64,6150.74,6249.31,6349.56,6452.07,6557.58,6666.45,6778.63,6893.49,7010.03,7126.88,7242.76,7357.95,7471.92,7581.75,7683.70,7775.42,7855.56,7925.67,7989.90,8054.13,8122.74,8197.30,8277.07,8361.43,8448.94,8538.61,8630.15,8724.24,8821.87,8924.38,9032.47,9146.28,9264.68,9385.47,9505.62,9622.74,9736.04,9845.32,9949.54,10047.72,10139.18
Sweden,752,Country/Area,7009.91,7073.23,7127.52,7175.67,7220.06,7262.63,7304.77,7347.48,7391.24,7436.26,7482.54,7530.18,7579.57,7631.45,7686.74,7745.68,7809.09,7875.90,7942.31,8003.19,8054.91,8095.80,8127.05,8151.60,8173.96,8197.34,8223.25,8250.69,8277.42,8300.00,8316.33,8325.49,8329.43,8332.44,8340.44,8357.65,8384.99,8421.06,8464.79,8514.20,8567.38,8625.14,8686.74,8746.77,8798.24,8836.42,8859.18,8868.86,8870.85,8873.11,8881.64,8897.80,8920.70,8951.44,8990.65,9038.63,9096.17,9162.94,9236.43,9313.09,9390.16,9466.71,9542.82,9618.02,9692.14,9764.95,9836.00,9904.90,9971.63,10036.39,10099.27
Honduras,340,Country/Area,1546.72,1588.56,1631.73,1676.51,1723.01,1771.36,1821.54,1873.49,1927.10,1982.19,2038.64,2096.41,2155.65,2216.71,2280.04,2346.01,2414.81,2486.42,2560.72,2637.52,2716.65,2798.13,2882.10,2968.98,3059.25,3153.25,3251.15,3352.83,3458.10,3566.66,3678.27,3792.92,3910.64,4031.33,4154.86,4281.17,4410.27,4542.22,4677.02,4814.70,4955.30,5098.59,5244.68,5394.42,5548.97,5709.01,5874.81,6045.70,6220.41,6397.14,6574.51,6751.91,6929.27,7106.32,7282.95,7458.98,7634.30,7808.52,7980.96,8150.78,8317.47,8480.67,8640.69,8798.52,8955.58,9112.90,9270.79,9429.02,9587.52,9746.12,9904.61
United Arab Emirates,784,Country/Area,69.59,67.47,69.24,72.77,76.52,79.58,81.62,82.96,84.42,87.19,92.42,100.80,112.11,125.13,138.05,149.86,159.98,169.77,182.62,203.10,234.51,277.46,330.97,394.63,467.46,548.30,637.93,735.35,835.50,931.75,1019.51,1096.60,1164.82,1228.46,1293.97,1366.17,1446.39,1533.53,1627.07,1725.68,1828.44,1937.16,2052.89,2173.14,2294.38,2415.10,2539.12,2671.36,2813.21,2966.03,3134.07,3302.72,3478.77,3711.93,4068.58,4588.22,5300.17,6168.85,7089.49,7917.37,8550.00,8946.78,9141.60,9197.91,9214.18,9262.90,9360.98,9487.21,9630.97,9770.53,9890.40
Hungary,348,Country/Area,9337.72,9480.61,9597.94,9692.90,9768.68,9828.50,9875.60,9913.25,9944.70,9973.06,10000.99,10030.48,10062.51,10096.98,10132.98,10169.80,10208.23,10248.71,10289.77,10329.35,10366.10,10398.16,10426.09,10453.66,10486.19,10526.78,10577.94,10636.57,10693.33,10735.50,10754.29,10746.49,10715.86,10669.20,10616.74,10566.32,10519.30,10474.54,10434.54,10401.61,10377.14,10363.05,10358.62,10359.05,10357.59,10349.31,10332.45,10308.48,10279.61,10249.41,10220.51,10193.45,10167.29,10141.34,10114.48,10085.94,10055.66,10024.16,9991.87,9959.44,9927.38,9895.69,9864.36,9833.92,9804.99,9777.93,9752.97,9729.82,9707.50,9684.68,9660.35
Tajikistan,762,Country/Area,1531.51,1585.00,1637.95,1690.34,1742.35,1794.42,1847.25,1901.78,1959.14,2020.56,2087.05,2159.13,2236.56,2318.25,2402.47,2487.98,2574.51,2662.26,2750.93,2840.27,2930.11,3020.42,3111.28,3203.04,3296.09,3390.94,3487.66,3586.52,3688.41,3794.46,3905.44,4020.82,4140.30,4265.28,4397.56,4537.82,4687.33,4844.00,5001.17,5149.87,5283.81,5400.64,5502.49,5593.32,5679.17,5764.81,5851.35,5938.40,6027.40,6119.66,6216.33,6318.51,6426.86,6541.55,6662.39,6789.32,6922.59,7062.67,7209.92,7364.75,7527.40,7697.51,7874.84,8059.78,8252.83,8454.02,8663.58,8880.27,9100.85,9321.02,9537.64
Belarus,112,Country/Area,7745.00,7698.81,7677.43,7679.69,7703.78,7747.22,7806.82,7878.77,7958.73,8042.11,8124.88,8204.34,8279.89,8353.29,8427.84,8505.72,8587.17,8670.57,8754.20,8835.74,8913.55,8987.03,9056.73,9123.45,9188.46,9252.78,9316.32,9378.92,9441.42,9504.86,9569.85,9636.15,9703.09,9770.13,9836.58,9901.49,9965.18,10026.47,10081.21,10124.00,10151.14,10160.79,10154.34,10135.13,10108.28,10077.61,10044.85,10009.39,9969.99,9924.44,9871.64,9811.40,9745.93,9679.24,9616.63,9562.08,9516.88,9480.51,9452.86,9433.16,9420.58,9415.32,9417.05,9423.50,9431.74,9439.42,9445.64,9450.23,9452.62,9452.41,9449.32
Austria,40,Country/Area,6936.44,6931.35,6931.19,6935.15,6942.62,6953.40,6967.62,6985.72,7008.42,7036.55,7070.77,7111.14,7156.84,7205.99,7256.09,7305.15,7352.24,7397.17,7439.58,7479.34,7516.24,7550.34,7581.12,7607.07,7626.29,7637.69,7640.76,7636.57,7627.76,7617.88,7609.75,7604.51,7602.18,7603.10,7607.30,7614.87,7625.40,7639.35,7658.86,7686.56,7723.95,7772.70,7830.94,7892.09,7947.22,7990.11,8017.85,8032.87,8041.05,8051.12,8069.28,8097.76,8134.40,8175.86,8216.81,8253.66,8285.35,8313.73,8341.53,8372.66,8409.95,8453.50,8502.23,8556.19,8615.21,8678.67,8747.31,8819.90,8891.38,8955.11,9006.40
Papua New Guinea,598,Country/Area,2002.15,2011.22,2024.16,2041.02,2061.76,2086.25,2114.28,2145.60,2179.87,2216.72,2255.86,2297.05,2340.35,2385.94,2434.22,2485.43,2539.68,2596.82,2656.64,2718.81,2783.13,2849.52,2918.14,2989.20,3063.05,3139.94,3219.83,3302.64,3388.63,3478.09,3571.21,3668.10,3768.49,3871.49,3975.95,4081.02,4186.50,4292.58,4399.32,4507.00,4615.84,4725.54,4836.22,4949.05,5065.66,5187.06,5314.26,5446.63,5581.77,5716.17,5847.59,5974.63,6098.62,6223.38,6354.25,6494.90,6646.89,6808.50,6976.20,7144.77,7310.51,7472.20,7631.00,7788.39,7946.73,8107.77,8271.77,8438.04,8606.32,8776.12,8947.03
Serbia,688,Country/Area,6732.25,6853.29,6963.39,7063.17,7153.36,7234.92,7308.93,7376.69,7439.61,7499.17,7556.73,7613.36,7669.61,7725.50,7780.69,7835.09,7888.80,7942.64,7998.00,8056.67,8119.87,8187.99,8260.63,8337.07,8416.26,8497.17,8579.63,8663.33,8746.98,8829.04,8908.30,8984.60,9057.97,9127.68,9192.92,9253.40,9306.35,9352.15,9397.31,9450.77,9517.68,9602.88,9701.15,9795.25,9861.63,9884.15,9856.06,9784.69,9685.43,9580.82,9487.61,9410.77,9346.46,9292.23,9242.64,9193.82,9145.91,9101.19,9060.11,9023.35,8991.26,8963.76,8940.12,8918.89,8898.28,8876.78,8853.96,8829.62,8802.74,8772.23,8737.37
Israel,376,Country/Area,1257.97,1345.34,1435.83,1525.36,1611.17,1691.87,1767.49,1839.37,1910.04,1982.76,2060.48,2144.65,2234.20,2325.15,2411.78,2490.32,2558.72,2619.10,2676.97,2740.07,2813.75,2900.02,2996.48,3098.79,3200.53,3296.93,3387.05,3472.12,3552.30,3628.31,3700.92,3770.69,3838.11,3903.95,3969.18,4035.06,4100.54,4167.13,4241.79,4333.58,4448.35,4589.31,4752.83,4929.41,5105.57,5271.37,5424.24,5566.55,5699.28,5824.94,5945.95,6060.68,6169.31,6278.37,6396.51,6529.47,6680.64,6847.15,7020.83,7190.04,7346.45,7487.10,7614.95,7734.83,7854.22,7978.50,8108.98,8243.85,8381.51,8519.37,8655.54
Switzerland,756,Country/Area,4668.09,4721.92,4781.12,4841.51,4900.46,4957.07,5012.09,5067.97,5128.44,5198.06,5280.68,5377.76,5487.05,5601.81,5712.71,5812.84,5899.48,5973.94,6038.33,6096.43,6150.85,6202.95,6251.29,6292.54,6322.01,6337.03,6335.98,6321.82,6302.04,6286.91,6283.83,6295.92,6321.41,6356.74,6396.14,6435.42,6473.05,6510.59,6550.73,6597.36,6652.87,6718.82,6792.91,6868.94,6938.41,6995.52,7038.03,7068.50,7091.78,7115.03,7143.76,7179.17,7220.38,7268.36,7323.73,7386.82,7457.96,7536.99,7622.83,7713.90,7808.67,7906.99,8008.01,8108.88,8206.00,8296.78,8379.92,8455.80,8525.61,8591.36,8654.62
Togo,768,Country/Area,1395.45,1425.48,1441.92,1452.09,1461.52,1473.84,1490.72,1512.02,1535.97,1559.68,1580.51,1597.52,1612.76,1631.76,1662.07,1708.63,1774.02,1855.45,1945.78,2034.90,2115.52,2185.67,2247.58,2303.34,2356.62,2410.45,2464.42,2518.45,2576.29,2642.69,2720.84,2812.31,2915.62,3026.98,3140.84,3253.00,3363.04,3471.74,3577.47,3678.57,3774.31,3863.00,3945.90,4029.04,4120.62,4226.29,4348.81,4485.95,4632.45,4780.46,4924.41,5062.57,5197.04,5330.63,5467.77,5611.64,5762.88,5920.36,6083.42,6250.84,6421.67,6595.94,6773.81,6954.72,7138.00,7323.16,7509.95,7698.48,7889.10,8082.36,8278.74
Sierra Leone,694,Country/Area,2041.20,2064.47,2088.48,2113.35,2139.09,2165.82,2193.62,2222.60,2252.84,2284.49,2317.64,2352.37,2388.76,2426.86,2466.67,2508.23,2551.58,2596.80,2644.01,2693.34,2744.89,2798.73,2854.87,2913.35,2974.11,3037.16,3102.60,3170.50,3240.84,3313.51,3388.49,3464.11,3540.16,3619.85,3707.51,3805.30,3916.69,4038.15,4156.64,4254.43,4319.76,4348.66,4347.73,4328.97,4309.78,4303.95,4312.66,4335.30,4381.48,4462.37,4584.57,4754.07,4965.77,5201.07,5434.00,5645.63,5829.24,5989.64,6133.60,6272.74,6415.64,6563.24,6712.59,6863.98,7017.15,7171.91,7328.85,7488.43,7650.15,7813.21,7976.99
"China, Hong Kong SAR",344,Country/Area,1974.00,2057.74,2150.10,2250.71,2358.71,2472.67,2590.56,2709.85,2827.56,2940.53,3046.05,3142.57,3230.30,3311.46,3389.56,3467.22,3545.85,3624.97,3703.18,3778.18,3848.92,3913.60,3974.19,4037.79,4113.99,4208.96,4326.33,4462.40,4607.03,4745.88,4868.74,4971.69,5058.05,5133.71,5207.84,5287.02,5373.45,5464.71,5557.38,5646.28,5727.94,5800.04,5864.75,5928.34,5999.62,6084.23,6185.58,6299.91,6417.00,6522.46,6606.33,6664.78,6701.77,6724.69,6744.56,6769.58,6802.08,6840.02,6881.86,6924.64,6966.32,7006.60,7046.85,7088.78,7134.67,7185.99,7243.54,7306.32,7371.73,7436.16,7496.99
